date, pm25, pm10, o3, no2, so2, co
6/1, 43, 61, 29, 16, 6, 8
6/2, 80, 62, 17, 14, 6, 6
6/3, 92, 68, 28, 17, 5, 9
6/4, 88, 72, 14, 15, 5, 6
6/5, 91, 49, 16, 10, 5, 6
6/6, 65, 50, 16, 6, 4, 4
6/7, 56, 57, 12, 9, 6, 6
6/8, 70, 65, 18, 24, 5, 6
6/9, 79, 83, 16, 17, 5, 7
6/10, 107, 80, 6, 16, 5, 6
6/11, 101, 82, 7, 20, 5, 7
6/12, 95, 85, 6, 17, 4, 7
6/13, 108, 78, 7, 10, 5, 6
6/14, 95, 86, 8, , 4, 7
6/15, 118, 70, 14, 8, 5, 6
6/16, 87, 67, 14, 19, 5, 8
6/17, 79, 57, 10, 6, 4, 6
6/18, 63, 58, 9, 4, 4, 7
6/19, 64, 120, 13, 5, 4, 6
6/20, 112, 70, 10, 12, 5, 6
6/21, 75, 62, 10, 14, 5, 6
6/22, 71, 52, 7, 14, 4, 7
6/23, 52, 43, 4, 7, 3, 6
6/24, 48, 44, 7, 9, 4, 7
6/25, 45, 49, 4, 15, 6, 8
6/26, 54, 65, 15, 15, 7, 7
6/27, 72, 85, 3, 12, 7, 6
6/28, 104, 164, 4, 12, 7, 7
6/29, 151, 84, 4, 12, 5, 6
6/30, 97, 58, 4, 7, 6, 6
7/1, 72, 70, 6, 9, 7, 8
7/2, 91, 77, 7, 13, 7, 8
7/3, 112, 80, 8, 8, 6, 8
7/4, 111, 59, 5, 2, 7, 7
7/5, 77, 45, 4, 9, 6, 6
7/6, 61, 67, 3, 9, 4, 6
7/7, 73, 27, 3, 7, 4, 4
7/8, 47, 30, 3, 6, 4, 5
7/9, 42, 45, 3, 5, 4, 6
7/10, 65, 53, 5, 9, 4, 5
7/11, 69, 44, 4, 13, 4, 5
7/12, 62, 41, 5, 15, 4, 4
7/13, 57, 78, 6, 20, 4, 5
7/14, 99, 100, 7, 21, 4, 5
7/15, 116, 73, 6, 13, 4, 5
7/16, 90, 55, 5, 13, 4, 6
7/17, 66, 61, 5, 14, 4, 6
7/18, 77, 64, 6, 12, 4, 6
7/19, 75, 38, 7, 14, 5, 7
7/20, 48, 33, 7, 18, 4, 5
7/21, 50, 31, 5, 20, 4, 4
7/22, 34, 31, 4, 13, 3, 4
7/23, 26, 52, 9, 26, 5, 7
7/24, 47, 59, 6, 27, 4, 5
7/25, 56, 46, 5, 17, 3, 5
7/26, 59, 60, 8, 26, 5, 8
7/27, 72, 61, 7, 19, 3, 4
7/28, 73, 56, 7, 21, 5, 6
7/29, 62, 49, 5, 15, 5, 5
7/30, 59, 34, 8, 15, 5, 5
7/31, 47, 53, 7, 17, 3, 6
8/1, 65, 51, 15, 10, 5, 5
8/2, 65, 46, 5, 13, 4, 7
8/3, 55, 51, 6, 15, 5, 5
8/4, 56, 43, 10, 15, 4, 5
8/5, 52, 47, 5, 17, 4, 7
8/6, 58, 40, 6, 10, 4, 4
8/7, 48, 35, 8, 12, 4, 5
8/8, 46, 55, 15, 17, 4, 7
8/9, 80, 33, 8, 15, 4, 7
8/10, 54, 33, 7, 10, 4, 6
8/11, 48, 47, 10, 14, 4, 7
8/12, 76, 38, 9, 11, 4, 5
8/13, 62, 18, 5, 12, 5, 6
8/14, 28, 23, 7, 9, 4, 5
8/15, 27, 0, , , , 
8/19, 24, 28, 4, 6, 3, 81
8/20, 39, 25, 8, 2, 5, 28
8/21, 38, 35, 8, , 4, 11
8/22, 47, 35, 72, 1, 3, 23
8/23, 45, 0, 77, , 1, 
8/26, 46, 38, 8, 11, 3, 5
8/27, 47, 41, 11, 12, 3, 6
8/28, 49, 46, 8, 15, 8, 8
8/29, 61, 59, 11, 14, 8, 8
8/30, 96, 42, 6, 9, 9, 5
8/31, 91, 30, 8, 8, 6, 5
9/2, 39, 38, 19, 12, 7, 40
9/3, 47, 55, 11, 9, 6, 17
9/4, 59, 55, 7, 8, 7, 8
9/5, 70, 37, 14, 13, 7, 4
9/6, 60, 40, 16, 12, 6, 4
9/7, 61, 58, 7, 14, 7, 5
9/8, 89, 47, 11, 10, 7, 5
9/9, 68, 69, 8, 11, 7, 5
9/10, 105, 142, 9, 6, 6, 5
