date, pm25, pm10, o3, no2, so2, co
7/18, 116, 60, 35, 9, 6, 33
7/19, 88, 14, 29, 10, 7, 21
7/20, 55, 48, 29, 15, 7, 27
7/21, 79, 60, 33, 14, 6, 30
7/22, 103, 48, 28, 10, 5, 18
7/23, 68, 47, 25, 10, 5, 15
7/24, 81, 65, 17, 14, 5, 6
7/25, 108, 68, 22, 11, 4, 4
7/26, 100, 71, 23, 10, 4, 5
7/27, 107, 45, 14, 9, 2, 4
7/28, 81, 26, 13, 9, 3, 2
7/29, 49, 41, 25, 13, 3, 4
7/30, 61, 38, 21, 14, 3, 4
7/31, 77, 37, 27, 9, 4, 6
8/1, 80, 36, 28, 15, 5, 7
8/2, 71, 55, 23, 15, 4, 7
8/3, 99, 60, 26, 2, 3, 3
8/4, 89, 50, 28, 4, 4, 4
8/5, 76, 60, 29, 3, 6, 4
8/6, 113, 61, 29, 4, 4, 5
8/7, 126, 45, 12, 3, 4, 5
8/8, 106, 48, 11, 3, 5, 5
8/9, 99, 56, 19, 2, 4, 4
8/10, 119, 59, 21, 2, 5, 5
8/11, 130, 59, 23, 4, 5, 4
8/12, 112, 58, 27, 4, 4, 5
8/13, 114, 77, 28, 3, 4, 6
8/14, 117, 81, 30, 3, 4, 6
8/15, 101, 84, 34, 3, 5, 7
8/16, 113, 88, 34, 2, 5, 7
8/17, 129, 101, 31, 2, 5, 8
8/18, 130, 103, 37, 2, 5, 9
8/19, 140, 111, 30, 3, 5, 8
8/20, 161, 59, 16, 1, 5, 7
8/21, 91, 39, 15, 1, 4, 5
8/22, 81, 52, 21, , 4, 8
8/23, 81, 49, 23, 1, 4, 6
8/24, 84, 64, 18, 1, 4, 8
8/25, 94, 73, 18, 1, 4, 7
8/26, 104, 81, 19, 3, 3, 8
8/27, 106, 103, 32, 13, 4, 7
8/28, 128, 108, 34, 3, 3, 4
8/29, 130, 80, 29, , 3, 3
8/30, 127, 53, 31, 1, 5, 2
8/31, 76, 40, 14, , 3, 3
9/1, 50, 36, 13, 2, 4, 4
9/2, 55, 48, 25, 1, 4, 6
9/3, 68, 44, 24, 2, 4, 3
9/4, 78, 47, 16, 2, 4, 5
9/5, 79, 55, 30, 2, 4, 7
9/6, 103, 67, 20, 1, 6, 6
9/7, 137, 64, 38, 1, 5, 5
9/8, 87, 50, 25, 1, 4, 2
9/9, 81, 61, 26, 1, 5, 3
9/10, 81, 48, 21, 2, 5, 3
9/11, 80, 22, 18, 2, 4, 2
9/12, 50, 48, 14, , 6, 9
9/13, 34, 58, 26, 1, 7, 4
9/14, 76, 68, 24, 3, 8, 3
9/15, 80, 46, 25, 3, 6, 6
9/16, 76, 42, 14, 1, 4, 3
9/17, 95, 54, 20, 2, 4, 3
9/18, 65, 63, 25, 4, 5, 3
9/19, 129, 55, 29, 1, 4, 3
9/20, 82, 56, 32, 1, 5, 4
9/21, 75, 59, 29, 1, 4, 2
9/22, 60, 54, 25, 1, 4, 2
9/23, 56, 58, 28, 1, 4, 2
9/24, 61, 55, 24, 2, 5, 3
9/25, 58, 75, 31, 2, 4, 4
9/26, 89, 62, 32, 1, 4, 3
9/27, 99, 76, 35, 2, 5, 5
9/28, 134, 75, 28, 3, 4, 2
9/29, 123, 58, 29, 1, 4, 3
9/30, 94, 57, 30, 7, 5, 4
10/1, 108, 66, 30, 15, 6, 6
10/2, 117, 72, 39, 13, 6, 5
10/3, 94, 59, 30, 10, 4, 3
10/4, 86, 58, 29, 11, 4, 8
10/5, 87, 70, 39, 13, 3, 5
10/6, 106, 70, 39, 14, 3, 4
10/7, 127, 91, 39, 17, 3, 6
10/8, 152, 118, 42, 21, 6, 11
10/9, 118, 115, 37, 20, 4, 10
10/10, 101, 105, 40, 16, 2, 11
10/11, 100, 99, 33, 18, 4, 13
10/12, 91, 105, 33, 20, 2, 6
10/13, 92, 108, 41, 17, 1, 2
10/14, 101, 112, 34, 27, 3, 8
10/15, 142, 130, 38, 25, 4, 5
10/16, 170, 169, 32, 33, 5, 7
10/17, 155, 107, 16, 21, 1, 3
10/18, 107, 29, 11, 12, 1, 2
10/19, 49, 64, 32, 16, 2, 3
10/20, 77, 110, 33, 23, 3, 5
10/21, 108, 111, 30, 23, 3, 3
10/22, 114, 89, 35, 18, 4, 5
10/23, 115, 89, 31, 17, 2, 4
10/24, 84, 80, 27, 15, 3, 3
10/25, 73, 64, 35, 19, 4, 3
10/26, 89, 95, 28, 17, 4, 5
10/27, 157, 123, 31, 27, 3, 4
10/28, 175, 130, 34, 24, 4, 5
10/29, 133, 135, 28, 30, 5, 6
10/30, 117, 122, 28, 29, 2, 4
10/31, 103, 149, 33, 24, 6, 6
11/1, 185, 148, 21, 26, 6, 10
11/2, 202, 123, 35, 24, 8, 6
11/3, 196, 123, 58, 26, 6, 14
11/4, 171, 238, 60, 24, 12, 7
11/5, 283, 319, 31, 23, 22, 7
11/6, 395, 200, 48, 32, 12, 6
11/7, 172, 181, 62, 28, 9, 6
11/8, 202, 211, 61, 36, 7, 6
11/9, 259, 235, 55, 34, 9, 8
11/10, 259, 216, 70, 37, 8, 7
11/11, 260, 270, 8, 37, 5, 8
11/12, 310, 413, 40, 35, 4, 10
11/13, 247, 256, 43, 37, 4, 8
11/14, 184, 164, 50, 33, 6, 11
11/15, 198, 176, 47, 39, 7, 8
11/16, 221, 218, 59, 36, 8, 7
11/17, 279, 187, 40, 35, 5, 10
11/18, 282, 190, 40, 38, 4, 12
11/19, 282, 183, 54, 37, 8, 10
11/20, 296, 195, 60, 39, 8, 8
11/21, 296, 159, 56, 32, 4, 
11/22, 267, 150, 48, 28, 7, 17
11/23, 206, 173, 50, 26, 7, 5
11/24, 235, 201, 36, 33, 5, 
11/25, 293, 183, 44, 30, 4, 31
12/22, 368, 482, 28, 33, 11, 20
12/23, 390, 354, 35, 28, 10, 16
12/24, 413, 328, 29, 22, 9, 11
12/25, 400, 382, 24, 27, 11, 12
12/26, 451, 315, 14, 25, 8, 3
12/27, 430, 151, 21, 19, 8, 9
12/28, 249, 123, 5, 23, 7, 3
12/29, 226, 176, 20, 19, 9, 
12/30, 260, 184, 21, 23, 15, 27
12/31, 267, 188, 29, 25, 17, 14
1/1, 286, 209, 31, 27, 16, 14
1/2, 325, 196, 37, 25, 16, 14
1/3, 331, 212, 39, 26, 15, 15
1/4, 314, 208, 22, 29, 13, 17
1/5, 301, 182, 9, 23, 10, 16
1/6, 327, 90, 18, 15, 5, 10
1/7, 194, 69, 20, 11, 4, 7
1/8, 159, 53, 17, 12, 4, 5
